Reference,Qty,Value,Footprint,supplier and part number,Description
C1,1,100µF,Capacitor_SMD:CP_Elec_6.3x7.7,KEMET A768EB107M1ELAS036,CAP ALUM POLY 100UF 20% 25V SMD
"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19",18,0.1µF,Capacitor_SMD:C_0603_1608Metric,NextGen 0603B104K250SD,"CAP,SMD,0603,X7R,0.1UF,10%,25V"
"CN1,CN2",2,Conn_02x05,Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical,digikey 1849-1002-ND,CONN HEADER VERT 10POS (2x5) 2.54MM
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED70,LED71,LED72",72,LED,LED_SMD:LED_0805_2012Metric, YY0805RE-NN3S0-T3AR4,LED RED CLEAR 0805 SMD
"PWR1,PWR2",2,JST B2P-VH,Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical,JST B2P-VH,"CONN HEADER VERT 2POS 3.96MM, JST VH"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72",72,1k,Resistor_SMD:R_0603_1608Metric,RM06F1001CT,RES 1K OHM 1% 1/16W 0603
"U1,U3,U5,U7,U9,U11,U13,U15,U17",9,74HC245,Package_SO:SO-20_5.3x12.6mm_P1.27mm,TI SN74HC245NST,IC TXRX NON-INVERT 6V 20-SO
"U2,U4,U6,U8,U10,U12,U14,U16,U18",9,74HC595,Package_SO:JEITA_SOIC-16_3.9x9.9mm_P1.27mm,Toshiba 74HC595D,IC SR TRI-STATE 8BIT 16-SOIC
